Placeholder Header,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Material,Atmosphere,Mass,Tube Diam,Pretreat_voltage,Pretreat_highest,Voltage,PulseTime,Res_Volt,Cap,Init_R,Fin_R,Volt_Drop,Res_Drop,Yield,Yield_Per,I_Max,I_Mean,Charge_Tot,PulseTime_I,I_Final,Maxima,Graphene_Yield,TwoDtoG,DtoG,FWHM 2D
89,PA,vac,257,8,260,110,210,360,22.3,96,7.7,1.6,187.7,6.1,184,71.59533074,401.5641,79.09896254,19.53304469,0.2538,9.45535783,3,0.525252525,0.628102564,0.4413226,38.80577211
90,PA,vac,204,8,260,110,220,560,7.1,114,5.2,1.3,212.9,3.9,135,66.17647059,497.8586,113.1098814,21.42253111,0.2103,6.742412356,1,0.303030303,0.664274683,0.424380401,36.02178355
91,PA,vac,293,8,240,120,215,90,126.4,150,6.8,1.2,88.6,5.6,183,62.45733788,386.2792,160.3936186,11.57976762,0.07285,22.39470691,1,0.747474747,0.749079157,0.401135374,42.01029518
92,PA,vac,227,8,75,55,120,40,110.8,60,5,1.9,9.2,3.1,185,81.49779736,78.67172,47.36583298,0.859061596,0.01845,75.61542266,1,0,0,0,0
93,PA,vac,204,8,115,65,190,50,139.3,132,6.9,1.6,50.7,5.3,154,75.49019608,298.0092,189.0555084,5.98293384,0.03175,260.5013254,1,0.434343434,0.618229527,0.393533578,41.95761408
94,PA,vac,391,8,120,90,130,100,80.2,60,7.5,1.3,49.8,6.2,310,79.28388747,77.52535,60.82590044,4.743945789,0.0786,56.48980806,1,0,0,0,0
95,PA,argon,223.4,8,180,60,185,110,71.5,114,4.5,0.5,113.5,4,177.9,0.796329454,247.1871,129.1236765,11.78190344,0.0916,52.19045103,1,0.727272727,0.793984261,0.320622415,37.76504422
96,PA,argon,257.2,8,240,120,220,275,38.47,96,6.5,1.4,181.53,5.1,155.3,0.603810264,330.8717,98.10866726,19.29256618,0.22335,10.25578669,1,0.494949495,0.722342316,0.377238284,37.40372285
97,PA,vac,297,8,240,80,184,332,60.6,132,6.7,0.8,123.4,5.9,215,72.39057239,286.5456,52.07479463,16.30153666,0.3151,21.59275046,1,0.626262626,0.580187088,0.58436177,44.75564318
98,PA,vac,354,8,200,125,200,244,68.6,114,6.8,0.8,131.4,6,281,79.37853107,322.8471,76.08184011,17.31568147,0.229,24.28100291,1,0.767676768,0.730114571,0.437877159,40.84498543
